127.0.0.1 - - [08/May/2024:20:16:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/May/2024:20:16:13 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [08/May/2024:20:16:13 +0530] "GET /UserDemo/image/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:20:16:13 +0530] "GET /UserDemo/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:20:16:13 +0530] "GET /UserDemo/image/social.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:20:16:13 +0530] "GET /UserDemo/image/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:20:16:13 +0530] "GET /UserDemo/image/bg_n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:20:16:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/May/2024:20:18:27 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6405
0:0:0:0:0:0:0:1 - - [08/May/2024:20:20:06 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6399
0:0:0:0:0:0:0:1 - - [08/May/2024:20:20:33 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6399
0:0:0:0:0:0:0:1 - - [08/May/2024:20:21:38 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6406
0:0:0:0:0:0:0:1 - - [08/May/2024:20:21:39 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6406
0:0:0:0:0:0:0:1 - - [08/May/2024:20:21:39 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6406
0:0:0:0:0:0:0:1 - - [08/May/2024:20:21:39 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6406
0:0:0:0:0:0:0:1 - - [08/May/2024:20:21:49 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6406
0:0:0:0:0:0:0:1 - - [08/May/2024:20:23:17 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [08/May/2024:20:23:18 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [08/May/2024:20:23:18 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [08/May/2024:20:23:18 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [08/May/2024:20:23:18 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [08/May/2024:20:24:33 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6430
0:0:0:0:0:0:0:1 - - [08/May/2024:20:24:57 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6410
